num_personne;num_ctr_indiv;type_assure;date_effet_adhesion;date_adhesion;delta
1977586;0000068645;ASSPRI;2025-10-01;2025-09-19;12
1977377;0000068585;ASSPRI;2025-10-01;2025-09-19;12
1977268;0000068563;ASSPRI;2025-10-01;2025-09-19;12
1977672;0000068677;ASSPRI;2025-10-01;2025-09-19;12
1977438;0000068595;ASSPRI;2025-10-01;2025-09-19;12
1977361;0000068582;ASSPRI;2025-10-01;2025-09-19;12
1977493;0000068610;ASSPRI;2025-09-20;2025-09-19;1
1977279;0000068564;ASSPRI;2025-10-01;2025-09-19;12
1977212;0000068546;ASSPRI;2025-10-01;2025-09-19;12
1977245;0000068552;ASSPRI;2025-10-01;2025-09-19;12
1977248;0000068549;ASSPRI;2025-10-01;2025-09-19;12
1977209;0000068544;ASSPRI;2025-09-20;2025-09-19;1
1977625;0000068663;ASSPRI;2025-10-01;2025-09-19;12
1977699;0000068679;ASSPRI;2025-10-01;2025-09-19;12
1977286;0000068568;ASSPRI;2025-10-01;2025-09-19;12
1977491;0000068608;ASSPRI;2025-11-01;2025-09-19;43
1977200;0000068538;ASSPRI;2025-10-01;2025-09-19;12
1977366;0000068583;ASSPRI;2025-10-01;2025-09-19;12
1977482;0000068602;CONJOI;2025-10-01;2025-09-19;12
1977571;0000068637;ASSPRI;2025-10-01;2025-09-19;12
1977351;0000068578;ASSPRI;2025-10-01;2025-09-19;12
1977487;0000068605;ASSPRI;2025-10-01;2025-09-19;12
1977489;0000068605;CONJOI;2025-10-01;2025-09-19;12
1977587;0000068646;ASSPRI;2025-10-01;2025-09-19;12
1917788;0000068545;ASSPRI;2025-10-01;2025-09-19;12
1977529;0000068623;ASSPRI;2025-07-01;2025-09-19;-80
1977531;0000068623;CONJOI;2025-07-01;2025-09-19;-80
1977618;0000068661;ASSPRI;2025-10-01;2025-09-19;12
1977617;0000068660;ASSPRI;2025-10-01;2025-09-19;12
1977383;0000068587;ASSPRI;2025-10-01;2025-09-19;12
1977405;0000068587;CONJOI;2025-10-01;2025-09-19;12
1977345;0000068571;ASSPRI;2025-10-01;2025-09-19;12
1977175;0000068534;ASSPRI;2025-10-01;2025-09-19;12
1977502;0000068614;MPRETR;2025-10-01;2025-09-19;12
1977642;0000068670;ASSPRI;2025-09-20;2025-09-19;1
1977350;0000068576;ASSPRI;2025-10-01;2025-09-19;12
1977475;0000068600;ASSPRI;2025-10-01;2025-09-19;12
1977579;0000068640;ASSPRI;2025-10-01;2025-09-19;12
1977580;0000068640;CONJOI;2025-10-01;2025-09-19;12
1977170;0000068531;ASSPRI;2025-10-01;2025-09-19;12
1977738;0000068682;ASSPRI;2025-10-01;2025-09-19;12
1977533;0000068626;ASSPRI;2025-09-20;2025-09-19;1
1977173;0000068532;ASSPRI;2025-10-04;2025-09-19;15
1977552;0000068633;ASSPRI;2025-09-20;2025-09-19;1
1977637;0000068667;ASSPRI;2025-10-01;2025-09-19;12
1977393;0000068592;ASSPRI;2025-10-01;2025-09-19;12
1977266;0000068561;ASSPRI;2025-10-01;2025-09-19;12
1977643;0000068671;ASSPRI;2025-10-01;2025-09-19;12
1977300;0000068569;ASSPRI;2025-10-01;2025-09-19;12
1977601;0000068650;ASSPRI;2025-10-01;2025-09-19;12
1977400;0000068591;ASSPRI;2025-10-01;2025-09-19;12
1977339;0000068570;ASSPRI;2025-10-01;2025-09-19;12
1977737;0000068681;ASSPRI;2025-10-01;2025-09-19;12
